AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Megalopidae","1f64e7d4-c3c5-4c6d-8b47-cb385a2cbcb2","Megalops cyprinoides","TAI","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mugilidae","f7632980-d6b5-4650-9183-6258301254fb","Crenimugil crenilabis","C20","5","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mugilidae","c4978b6b-0c49-455a-93ee-a73aa7a33c57","Mugil sp.","MGS","4","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mugilidae","f6942ea6-9604-461b-b225-1a6b47f4e76d","Valamugil sp.","","7","7"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mullidae","04136d75-92c9-42c9-ae1d-ce7cbe43c8e9","Parupeneus barberinoides","C53","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mullidae","f8a7b84c-920d-45dc-9858-9ff8123d8278","Parupeneus barberinus","RFP","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Mullidae","7308ee92-de26-421f-85d2-600f1dadb20f","Parupeneus indicus","RFQ","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Pomacentridae","b6cabbad-e64a-4961-8c22-a31bd571c7c7","Abudefduf saxatilis","ABU","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Pomacentridae","59ed78fc-a430-42a8-b703-8c7e4a3ce8e0","Abudefduf sexfasciatus","","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Priacanthidae","3c715784-10dc-433b-98ee-91ebc10be571","Priacanthus hamrur","BWH","3","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","3b791d6c-9a07-47da-a124-c1d8df21c926","Bolbometopon muricatum","BMK","4","11"
